,Speed,SpeedRank,Movie,City,Population,dSdt,sEdt,dIdt,dRdt
0,Slow* ,2,The Walking Dead ,New_York,8398748,1345046.0,1.0,0.0,0.0
1,Slow* ,2,The Walking Dead ,New_York,8398748,1345045.4546529416,0.05783066234651907,1.4384351620388383,0.04908123537877156
2,Slow* ,2,The Walking Dead ,New_York,8398748,1345044.5524570523,0.08955654353866635,2.2277075397219113,0.13027886537741978
3,Slow* ,2,The Walking Dead ,New_York,8398748,1345043.155228898,0.13869588322670887,3.450045820714465,0.2560293992908852
4,Slow* ,2,The Walking Dead ,New_York,8398748,1345040.9913484156,0.21479756559384156,5.343075377172113,0.4507786426911381
5,Slow* ,2,The Walking Dead ,New_York,8398748,1345037.6401615113,0.3326552927594009,8.274797732924675,0.7523854640786443
6,Slow* ,2,The Walking Dead ,New_York,8398748,1345032.4502125261,0.5151792970865996,12.815127305267534,1.2194808727602984
7,Slow* ,2,The Walking Dead ,New_York,8398748,1345024.41261892,0.7978489179673561,19.84666786586177,1.9428642973017811
8,Slow* ,2,The Walking Dead ,New_York,8398748,1345011.9649857841,1.2356067332222798,30.73625620406526,3.0631512795119535
9,Slow* ,2,The Walking Dead ,New_York,8398748,1344992.6877830268,1.913532189438246,47.6005852568622,4.798099527656088
10,Slow* ,2,The Walking Dead ,New_York,8398748,1344962.8342439884,2.9633634456571167,73.71747452557072,7.484918041110445
11,Slow* ,2,The Walking Dead ,New_York,8398748,1344916.6026103084,4.589065083688255,114.16255953623674,11.645765072300268
12,Slow* ,2,The Walking Dead ,New_York,8398748,1344845.009757918,7.106377302116142,176.79474299278377,18.08912178740767
13,Slow* ,2,The Walking Dead ,New_York,8398748,1344734.1484565723,11.00395199970523,273.7809525200042,28.06663890854267
14,Slow* ,2,The Walking Dead ,New_York,8398748,1344562.4924036209,17.037761631875583,423.9541510732331,43.51568367413163
15,Slow* ,2,The Walking Dead ,New_York,8398748,1344296.7321484548,26.376657434871333,656.4570874716062,67.43410663910217
16,Slow* ,2,The Walking Dead ,New_York,8398748,1343885.349227847,40.82623304436425,1016.3659696155682,104.45856949383952
17,Slow* ,2,The Walking Dead ,New_York,8398748,1343248.7195555922,63.17178733913404,1573.3534170729265,161.75523999679723
18,Slow* ,2,The Walking Dead ,New_York,8398748,1342263.9182933744,97.70055932970288,2434.993793700258,250.38735359636988
19,Slow* ,2,The Walking Dead ,New_York,8398748,1340741.5014142503,150.98930937395048,3767.104403658995,387.40487271754427
20,Slow* ,2,The Walking Dead ,New_York,8398748,1338390.2946536064,233.07381573988621,5824.618049478945,599.0134811754891
21,Slow* ,2,The Walking Dead ,New_York,8398748,1334764.6311470815,359.1418953126247,8997.903760843896,925.3231967627335
22,Slow* ,2,The Walking Dead ,New_York,8398748,1329186.7951410671,551.8803071285603,13880.996114501113,1427.3284373040347
23,Slow* ,2,The Walking Dead ,New_York,8398748,1320636.5689802233,844.4798005326556,21369.10242746495,2196.8487917799835
24,Slow* ,2,The Walking Dead ,New_York,8398748,1307602.221377581,1283.885847642763,32790.95269875918,3369.9400760177755
25,Slow* ,2,The Walking Dead ,New_York,8398748,1287898.683695469,1932.83708627097,50072.220750853056,5143.258467407873
26,Slow* ,2,The Walking Dead ,New_York,8398748,1258489.9760125147,2867.062745187151,75899.91908342512,7790.042158873744
27,Slow* ,2,The Walking Dead ,New_York,8398748,1215420.1174816603,4160.471885012168,113800.08120667793,11666.329426650671
28,Slow* ,2,The Walking Dead ,New_York,8398748,1154068.0111282524,5847.902228166342,167943.06764512428,17188.018998457326
29,Slow* ,2,The Walking Dead ,New_York,8398748,1070052.182207414,7859.019447782701,242386.3547434711,24749.4436013328
30,Slow* ,2,The Walking Dead ,New_York,8398748,961039.9729113226,9942.187648767813,339504.2970019289,34560.542437980985
31,Slow* ,2,The Walking Dead ,New_York,8398748,829150.5730477064,11647.67315067939,457818.16537590814,46430.58842570645
32,Slow* ,2,The Walking Dead ,New_York,8398748,682562.3135265523,12463.573184772207,590397.5815060653,59623.5317826103
33,Slow* ,2,The Walking Dead ,New_York,8398748,534391.8002747613,12091.97868130416,725604.3430686629,72958.87797527149
34,Slow* ,2,The Walking Dead ,New_York,8398748,398479.1309619825,10654.024876149699,850722.8259484462,85191.01821342159
35,Slow* ,2,The Walking Dead ,New_York,8398748,284598.1330270865,8611.928146993883,956396.6307983574,95440.30802756223
36,Slow* ,2,The Walking Dead ,New_York,8398748,196271.02313373386,6485.873278679893,1038900.3556696221,103389.74791796398
37,Slow* ,2,The Walking Dead ,New_York,8398748,131818.3152525892,4627.938465984585,1099410.2546541588,109190.49162726702
38,Slow* ,2,The Walking Dead ,New_York,8398748,86866.36823089015,3176.085370091417,1141768.3795397978,113236.16685921994
39,Slow* ,2,The Walking Dead ,New_York,8398748,56500.37326803331,2121.7480386287452,1170455.77228746,115969.10640587706
40,Slow* ,2,The Walking Dead ,New_York,8398748,36429.21776154406,1391.9775281333445,1189450.29430886,117775.5104014611
41,Slow* ,2,The Walking Dead ,New_York,8398748,23353.418033567134,902.3844501348358,1201838.8651393175,118952.332376979
42,Slow* ,2,The Walking Dead ,New_York,8398748,14915.227909213476,580.4766169111247,1209839.525985703,119711.76948817083
43,Slow* ,2,The Walking Dead ,New_York,8398748,9503.109217171866,371.54271204653753,1214973.4879003256,120198.8601704546
44,Slow* ,2,The Walking Dead ,New_York,8398748,6045.514245227518,237.0515772718324,1218254.3904595699,120510.04371792958
45,Slow* ,2,The Walking Dead ,New_York,8398748,3842.149433694657,150.9348519138295,1220345.5691634226,120708.34655096753
46,Slow* ,2,The Walking Dead ,New_York,8398748,2440.302285657993,95.97782745752158,1221676.207092592,120834.51279429084
